iter	RMSE
0	0.5522356977
1	0.5407122674
2	0.5300733315
3	0.5202985989
4	0.5112787799
5	0.5033690507
6	0.4958664691
7	0.4891607731
8	0.4831208196
9	0.4772238711
10	0.4715798189
11	0.4652050535
12	0.4596555069
13	0.4542777522
14	0.4493905061
15	0.4449564874
16	0.4405932761
17	0.4368220375
18	0.4332317163
19	0.4297686246
20	0.4266183356
21	0.4236813824
22	0.4210105003
23	0.4184328869
24	0.4161143836
25	0.413674335
26	0.4111764138
27	0.4089647244
28	0.4071065323
29	0.4053817727
30	0.4037834043
31	0.4021592625
32	0.4004875274
33	0.39887972
34	0.3975288288
35	0.3963042843
36	0.3949500711
37	0.3937162066
38	0.3926737474
39	0.3914123335
40	0.3905377283
41	0.3896263648
42	0.3886249372
43	0.3876652669
44	0.3866399469
45	0.3856607318
46	0.3848866156
47	0.3841636396
48	0.3835166262
49	0.3826994638
50	0.3821533093
51	0.3815218971
52	0.3806873769
53	0.3801560565
54	0.3794974858
55	0.3788736087
56	0.3783207953
57	0.3776829419
58	0.3770720541
59	0.3766351963
60	0.3760007003
61	0.375516757
62	0.3750016751
63	0.3744582584
64	0.3739914054
65	0.3735763001
66	0.3731060099
67	0.3726415493
68	0.3722827645
69	0.3717439262
70	0.3712458915
71	0.370766275
72	0.3703271687
73	0.3699956896
74	0.3693866493
75	0.3690664799
76	0.3687508861
77	0.3679648205
78	0.3672268838
79	0.3669324227
80	0.3666895208
81	0.3663433993
82	0.3660642216
83	0.3658275004
84	0.3656188643
85	0.3653949927
86	0.3651433661
87	0.3649035362
88	0.3647094196
89	0.3644815418
90	0.3642373699
91	0.3636098303
92	0.363373331
93	0.3632217483
94	0.3629937537
95	0.3627944317
96	0.3624780226
97	0.3621342529
98	0.3618744189
99	0.3616153747
100	0.3613722936
101	0.3611164847
102	0.3608638104
103	0.3607114593
104	0.3605395841
105	0.3603428956
106	0.3597818553
107	0.3593362703
108	0.3588973436
109	0.3587112811
110	0.3584795607
111	0.3583180543
112	0.3581885363
113	0.3579696789
114	0.3577057732
115	0.357526029
116	0.3573561287
117	0.3572436665
118	0.3570811675
119	0.3567501554
120	0.3565804917
121	0.3564491954
122	0.3562756542
123	0.3558878347
124	0.3555477578
125	0.3554332151
126	0.3552503307
127	0.355128082
128	0.354977091
129	0.3547652687
130	0.354565974
131	0.3543988351
132	0.3542300528
133	0.3541011631
134	0.3540030573
135	0.3537896332
136	0.3534584168
137	0.353334048
138	0.3530033804
139	0.3529048623
140	0.3527580387
141	0.3526679059
142	0.3525392093
143	0.3524143417
144	0.3523599181
145	0.3522699694
146	0.3521387462
147	0.351927017
148	0.3516900908
149	0.3515661452
150	0.3514662225
151	0.351312171
152	0.3511042004
153	0.3509278016
154	0.3508170285
155	0.35073648
156	0.3505894576
157	0.350435695
158	0.3503306664
159	0.3502335137
160	0.3501460527
161	0.3500743742
162	0.3499269921
163	0.3497927509
164	0.349726434
165	0.3496317193
166	0.349560044
167	0.3494799646
168	0.3493247149
169	0.3491674002
170	0.3490387748
171	0.3487957939
172	0.3487289538
173	0.3486474292
174	0.3484953256
175	0.3483791985
176	0.3482642959
177	0.34817298
178	0.348114975
179	0.347882877
180	0.3477812948
181	0.3476540776
182	0.3474412475
183	0.347342443
184	0.3472552157
185	0.3470562861
186	0.346960563
187	0.3468799265
188	0.3467911012
189	0.3467245142
190	0.3466443442
191	0.346515294
192	0.3464143994
193	0.3463552789
194	0.3461587092
195	0.34608969
196	0.3460430284
197	0.3459473183
198	0.3458771211
199	0.3456940872
200	0.3455916715
201	0.3454926458
202	0.3453650957
203	0.3452075787
204	0.3451713234
205	0.3450627969
206	0.3449837427
207	0.3448222685
208	0.3446733152
209	0.3446056467
210	0.3444967671
211	0.3443942933
212	0.3442395114
213	0.344156955
214	0.344057003
215	0.3438905552
216	0.3438038297
217	0.3436791213
218	0.343604141
219	0.343511346
220	0.3433963343
221	0.343317038
222	0.3432232586
223	0.3431417327
224	0.3430125017
225	0.3429345322
226	0.3428771277
227	0.3428117422
228	0.3427118179
229	0.3425574252
230	0.3424257412
231	0.3423452932
232	0.3422494169
233	0.3421313295
234	0.3420452555
235	0.3419622457
236	0.3417907469
237	0.3417182819
238	0.3415929364
239	0.3415250442
240	0.3414587534
241	0.3413012597
242	0.341209103
243	0.3411460773
244	0.3410871525
245	0.3410083423
246	0.3409436788
247	0.3408712542
248	0.3408013715
249	0.3407307943
250	0.3406610373
251	0.3405418698
252	0.3404127128
253	0.340321903
254	0.3402262999
255	0.3401791664
256	0.3400931357
257	0.3399814198
258	0.3398780342
259	0.339786932
260	0.3396677618
261	0.3396096763
262	0.3394784742
263	0.3394425447
264	0.3393821857
265	0.3392744534
266	0.3391885055
267	0.3390942285
268	0.3390217503
269	0.3389423751
270	0.338885327
271	0.3388220197
272	0.3387687853
273	0.3387024219
274	0.3386306226
275	0.3385460443
276	0.3384859386
277	0.3384425426
278	0.3383730376
279	0.3382680928
280	0.3381981534
281	0.3380345124
282	0.3379782989
283	0.3378952551
284	0.3378276492
285	0.3377612372
286	0.3376493824
287	0.3375779291
288	0.337525484
289	0.3374657862
290	0.3373741559
291	0.3373237476
292	0.3372691032
293	0.3372468436
294	0.3371289161
295	0.3370870919
296	0.3370158858
297	0.3369530195
298	0.3368379273
299	0.3367809628
300	0.3367099782
301	0.3366455793
302	0.3366044295
303	0.3365311598
304	0.3364865914
305	0.3364418044
306	0.3363165188
307	0.3362586216
308	0.336169542
309	0.3361033359
310	0.3360411572
311	0.3359925269
312	0.3359274691
313	0.3359102778
314	0.3358374572
315	0.3357501769
316	0.3356801196
317	0.3356367689
318	0.335590709
319	0.3355292353
320	0.3354825439
321	0.3354277223
322	0.3353644627
323	0.3353374443
324	0.3352377454
325	0.3351948413
326	0.3351051775
327	0.335023641
328	0.3349833016
329	0.3349077011
330	0.3347919409
331	0.3347042027
332	0.3346460464
333	0.3345801089
334	0.3345066693
335	0.334450135
336	0.3344209806
337	0.3343961742
338	0.3343291965
339	0.3342836215
340	0.3342360945
341	0.3341706997
342	0.3341106913
343	0.3340699769
344	0.33405687
345	0.3340100904
346	0.3339373543
347	0.3339234383
348	0.3338543095
349	0.3338054722
350	0.3337433438
351	0.3337020975
352	0.3335502375
353	0.3334672076
354	0.3334259973
355	0.3333644032
356	0.3333011465
357	0.3332064613
358	0.3331436382
359	0.3330641804
360	0.3330206565
361	0.3329680787
362	0.3329241529
363	0.3328912886
364	0.3328580189
365	0.3327863486
366	0.3327054665
367	0.3326640324
368	0.3325914327
369	0.3325467954
370	0.3324417883
371	0.3324118549
372	0.3323313988
373	0.3322718757
374	0.3321690538
375	0.3320738163
376	0.3320556426
377	0.3320008228
378	0.331924815
379	0.3318674548
380	0.3318042357
381	0.3317189074
382	0.3316266
383	0.3316126772
384	0.3315310529
385	0.3314482623
386	0.3313087246
387	0.3312548017
388	0.3311880562
389	0.3311491048
390	0.3311290866
391	0.3310936976
392	0.3310173209
393	0.331002238
394	0.3309781383
395	0.3309283985
