iter	Passed	Remaining
0	26	20823
1	57	22811
2	83	22119
3	115	23036
4	149	23790
5	185	24555
6	216	24545
7	250	24776
8	283	24873
9	309	24459
10	342	24542
11	381	25022
12	416	25218
13	445	25014
14	484	25329
15	515	25279
16	546	25164
17	576	25045
18	605	24880
19	640	24984
20	671	24919
21	701	24825
22	736	24870
23	766	24773
24	799	24776
25	825	24567
26	857	24535
27	890	24558
28	923	24561
29	948	24355
30	979	24299
31	1010	24251
32	1043	24244
33	1072	24161
34	1099	24021
35	1129	23968
36	1164	24014
37	1196	24000
38	1226	23935
39	1258	23919
40	1290	23883
41	1321	23841
42	1350	23782
43	1381	23736
44	1411	23685
45	1445	23689
46	1477	23676
47	1503	23560
48	1536	23544
49	1563	23448
50	1590	23359
51	1620	23310
52	1647	23224
53	1680	23222
54	1715	23236
55	1743	23157
56	1773	23112
57	1803	23066
58	1834	23037
59	1867	23031
60	1899	23008
61	1927	22941
62	1958	22914
63	1987	22853
64	2017	22810
65	2047	22768
66	2078	22744
67	2109	22713
68	2142	22695
69	2171	22644
70	2198	22577
71	2230	22556
72	2258	22496
73	2296	22527
74	2329	22515
75	2361	22498
76	2400	22536
77	2436	22548
78	2467	22519
79	2501	22513
80	2535	22502
81	2571	22513
82	2605	22507
83	2637	22485
84	2669	22455
85	2699	22413
86	2732	22394
87	2769	22409
88	2798	22358
89	2834	22364
90	2869	22356
91	2901	22329
92	2933	22303
93	2962	22252
94	2995	22232
95	3024	22182
96	3059	22172
97	3091	22148
98	3127	22142
99	3160	22120
100	3198	22134
101	3235	22139
102	3269	22123
103	3302	22101
104	3343	22130
105	3380	22130
106	3417	22131
107	3447	22088
108	3480	22062
109	3515	22053
110	3559	22095
111	3590	22057
112	3626	22046
113	3664	22052
114	3700	22042
115	3736	22034
116	3775	22040
117	3813	22039
118	3846	22011
119	3885	22015
120	3920	22000
121	3957	21991
122	3986	21944
123	4024	21941
124	4053	21890
125	4090	21880
126	4124	21854
127	4157	21826
128	4190	21798
129	4228	21792
130	4258	21750
131	4293	21730
132	4326	21698
133	4362	21681
134	4395	21650
135	4427	21615
136	4458	21574
137	4490	21542
138	4522	21506
139	4553	21465
140	4590	21455
141	4638	21492
142	4684	21522
143	4716	21488
144	4749	21456
145	4786	21443
146	4816	21394
147	4849	21365
148	4885	21344
149	4922	21329
150	4950	21279
151	4985	21253
152	5020	21231
153	5055	21208
154	5088	21174
155	5122	21145
156	5161	21137
157	5194	21107
158	5223	21060
159	5260	21042
160	5298	21029
161	5331	20996
162	5368	20980
163	5400	20944
164	5438	20928
165	5472	20900
166	5506	20872
167	5537	20830
168	5573	20811
169	5609	20789
170	5646	20770
171	5676	20727
172	5710	20694
173	5742	20660
174	5772	20615
175	5805	20582
176	5840	20556
177	5876	20533
178	5908	20497
179	5951	20499
180	5988	20480
181	6023	20452
182	6053	20410
183	6089	20388
184	6127	20368
185	6163	20344
186	6197	20315
187	6231	20285
188	6268	20265
189	6303	20238
190	6339	20213
191	6378	20198
192	6415	20178
193	6452	20155
194	6484	20118
195	6515	20077
196	6551	20052
197	6585	20023
198	6614	19976
199	6651	19954
200	6687	19929
201	6721	19899
202	6753	19861
203	6786	19828
204	6821	19799
205	6858	19775
206	6894	19751
207	6927	19715
208	6964	19694
209	6995	19652
210	7028	19620
211	7061	19585
212	7095	19555
213	7133	19533
214	7164	19493
215	7201	19469
216	7235	19438
217	7269	19406
218	7300	19369
219	7330	19326
220	7364	19294
221	7397	19261
222	7431	19227
223	7468	19203
224	7503	19175
225	7539	19149
226	7589	19156
227	7625	19131
228	7662	19105
229	7692	19064
230	7732	19047
231	7765	19011
232	7801	18985
233	7833	18947
234	7867	18914
235	7900	18880
236	7940	18863
237	7974	18829
238	8009	18800
239	8045	18772
240	8081	18745
241	8109	18698
242	8147	18674
243	8181	18642
244	8218	18617
245	8249	18577
246	8287	18553
247	8324	18527
248	8357	18493
249	8388	18454
250	8421	18418
251	8459	18396
252	8491	18358
253	8522	18319
254	8556	18287
255	8587	18247
256	8625	18223
257	8658	18189
258	8690	18151
259	8721	18114
260	8757	18086
261	8802	18074
262	8843	18057
263	8889	18048
264	8922	18013
265	8955	17978
266	8989	17946
267	9028	17921
268	9062	17889
269	9093	17850
270	9127	17817
271	9166	17792
272	9199	17758
273	9237	17733
274	9274	17706
275	9307	17670
276	9340	17635
277	9378	17610
278	9416	17583
279	9451	17553
280	9482	17513
281	9516	17480
282	9547	17442
283	9581	17407
284	9612	17369
285	9647	17338
286	9677	17298
287	9707	17258
288	9742	17226
289	9771	17184
290	9803	17148
291	9837	17114
292	9874	17087
293	9905	17048
294	9941	17018
295	9975	16984
296	10008	16950
297	10041	16914
298	10081	16892
299	10116	16860
300	10146	16820
301	10186	16797
302	10226	16774
303	10267	16752
304	10296	16711
305	10329	16676
306	10365	16646
307	10402	16616
308	10432	16577
309	10470	16550
310	10504	16517
311	10538	16483
312	10569	16445
313	10601	16408
314	10633	16372
315	10667	16339
316	10697	16299
317	10730	16265
318	10775	16247
319	10810	16215
320	10853	16196
321	10889	16165
322	10929	16140
323	10964	16108
324	10998	16074
325	11031	16040
326	11066	16007
327	11101	15975
328	11136	15943
329	11169	15908
330	11203	15875
331	11233	15835
332	11271	15806
333	11304	15772
334	11344	15746
335	11374	15707
336	11403	15666
337	11434	15630
338	11468	15596
339	11503	15562
340	11540	15534
341	11571	15496
342	11609	15468
343	11644	15435
344	11694	15423
345	11743	15409
346	11790	15392
347	11827	15362
348	11867	15336
