primary_industry,n,rmse,mae,r2,bias,median_actual,median_pred
Research Services,126,38112.964146126644,21822.476768649958,0.6225015232976077,-10380.108342866868,97749.99999999999,95589.40000721824
Legal Services,290,36509.19498888336,24558.354478201836,0.6263580348239663,-4861.091418302655,98750.00000000003,103249.90445001477
Business Consulting and Services,343,35184.93229760432,22285.78783993537,0.5924121562398396,-4607.709000040107,104999.99999999997,104490.02124309262
Unknown,380,34904.397124273826,21602.317635237665,0.3928209396431066,-6170.029968329789,64999.999999999956,67869.03795345098
Computer Hardware Manufacturing,134,34636.27666086115,26743.081656808972,0.6241217703344302,-6859.600398847183,138000.00000000006,139215.79400817864
Computer and Network Security,159,34389.59081344552,22222.34375498491,0.5867354444180295,-2274.5078441162977,138899.99999999994,138007.1695882728
Law Practice,398,32765.098470171444,21356.89094847844,0.6261399300819379,-2081.7743131999573,100500.00000000003,111169.34895011302
"Technology, Information and Internet",350,31611.02641939693,21451.433047484104,0.7258572591331858,-1952.0858608500819,134999.99999999997,132630.45466673735
Software Development,1362,31459.942992712582,22436.11061868006,0.6959295323078961,-2188.8566971878254,133999.9999999999,133798.58043878461
"Technology, Information and Media",220,30669.756784992915,21186.843141590954,0.6466976686798198,-2520.081241834232,114999.99999999991,115031.474274848
Oil and Gas,178,30300.02397516625,21065.980871937598,0.569871523735308,-9253.227878956564,99750.00000000003,92830.0605412905
Mental Health Care,218,29143.504044941186,16917.848625505656,0.6317819268094016,-2542.1660773803756,80745.71750000003,83637.83312084978
Information Services,241,28668.80208837114,21096.52044199053,0.738226709413341,-736.5365168438213,130999.99999999997,134567.32958940548
Professional Services,119,28653.367724741285,20952.53341481383,0.6640792480964111,2974.6007784931967,90299.99999999994,108594.49661492798
Insurance,630,28640.643457389924,18057.373867646886,0.6817090840513818,-2498.719041984428,88987.5,91948.03052506915
Biotechnology Research,381,28579.119010027058,20224.94316833357,0.8049266303785306,-5285.428245493454,114400.00000000004,114268.89769779531
Real Estate,555,27899.301115259455,16123.007120671164,0.6660186061409232,-4881.012740521121,70000.00000000001,71313.74077846314
Pharmaceutical Manufacturing,491,27627.93529127019,18925.95615283267,0.757654581504114,-3556.570502994087,104000.00000000003,104576.60748605391
Services for Renewable Energy,106,27510.350309397745,20573.28144339838,0.646065187425986,-4410.618505059506,114699.99999999997,116733.62386149065
Defense and Space Manufacturing,313,27225.59097859296,20006.169797311428,0.6700152198589497,-3989.2173401591913,124575.0000000001,123400.68841614503
