title_family,n,rmse,mae,r2,bias,median_actual,median_pred
product,226,30377.901359096824,21954.83969151476,0.48961319079366417,-651.4865563939034,150400.00000000006,152358.5570915513
data_ai,640,29699.635905463878,21838.370293030905,0.6556806456354317,-1159.4856672554592,138250.0,138370.84617943887
sales,2489,29431.53480882231,17223.762551353568,0.6689493360930481,-3658.893837873145,71990.00000000001,75884.31340773488
management,5073,28325.592689252087,19817.01636263395,0.718219043180893,-2333.661020811211,109999.99999999991,108823.10908761143
software_engineering,4062,27504.611699965062,20301.66041343391,0.5984033609517092,-1762.9961336805848,127500.00000000001,126287.09434445595
healthcare,2624,27170.884347778047,15964.795535448671,0.6880913643372175,-3846.864980755199,90673.20000000001,90279.00034535705
marketing,756,26771.993045335967,18014.894853033762,0.727955331426029,-2537.8290940534253,93832.50000000006,94665.54671137064
consulting_analyst,1731,25237.42878666966,17001.78402503853,0.5467600849161773,-2330.8625352924005,90000.00000000001,93001.65114080628
finance,1703,23888.847600660083,16105.251610255496,0.7159281983928606,-1309.6357571575093,97500.0,97405.70250110942
cybersecurity,355,23214.257141820424,15337.593934686856,0.8137510882372498,-3761.277355286816,81306.49999999994,83057.24826837739
hr_recruiting,398,22425.144269330725,15720.166706927444,0.7020318270781675,-1875.3395086999278,83750.00000000003,86676.09980808126
other,15222,21779.36926955925,12684.201191159404,0.7314804658387241,-2924.308998061108,57200.00000000003,58414.70661352393
