title_text,n,mae,bias
Pediatric Dentist,4,89742.86432088417,-89742.86432088417
Medical Doctor,3,85927.90554448125,-85927.90554448125
Associate,5,82281.11154101991,-82281.11154101991
Real Estate Sales Agent,3,79837.46192460833,-75637.85092265111
Dermatology Nurse Practitioner \ Physician Assistant,3,75314.29212390886,-75314.29212390886
Deviation Investigator,5,73601.5626833156,-73601.5626833156
Production Engineer,4,70044.41920265871,-48229.317966224626
Sales Development Representative (SDR),3,68227.31994087234,-65462.812764440016
Dentist,4,67546.7448195687,-11804.617961573316
Veterinarian,8,67095.78528410569,-60525.908161477346
Director of Product Management,3,59551.680369183545,34568.10339693388
Pharmacist,5,58971.07371424476,-58971.07371424476
Medical Director,4,57714.93885223269,-57714.93885223269
Real Estate Attorney,4,55337.50355031298,8133.567781597067
Ultrasound Technician,3,53686.23252909943,-53686.23252909943
