formatted_experience_level,formatted_work_type,primary_industry,pay_period,company_size,state_final,title_cluster,title_family,city_loc,company_id,city_industry,state_industry,exp_industry,exp_title_cluster,remote_industry,pay_work_type,views,applies,employee_count,follower_count,company_job_count,description_len,description_word_count,n_skills,benefit_count,company_industry_count,company_speciality_count,follower_per_employee,title_len,title_word_count,is_hourly,remote_flag,has_applies,has_views,has_employee_count,has_follower_count,title_senior,title_principal,title_director,title_vp,title_chief,title_manager,title_junior,title_associate,title_engineer,title_architect,title_data,title_sales,title_consultant,title_nurse,title_product,title_finance,title_security,title_marketing,title_hr,skill_accounting_auditing,skill_administrative,skill_advertising,skill_analyst,skill_art_creative,skill_business_development,skill_consulting,skill_customer_service,skill_design,skill_distribution,skill_education,skill_engineering,skill_finance,skill_general_business,skill_health_care_provider,skill_human_resources,skill_information_technology,skill_legal,skill_management,skill_manufacturing,skill_marketing,skill_other,skill_product_management,skill_production,skill_project_management,skill_public_relations,skill_purchasing,skill_quality_assurance,skill_research,skill_sales,skill_science,skill_strategy_planning,skill_supply_chain,skill_training,skill_writing_editing,benefit_401_k,benefit_commuter_benefits,benefit_dental_insurance,benefit_disability_insurance,benefit_medical_insurance,benefit_paid_maternity_leave,benefit_paid_paternity_leave,benefit_pension_plan,benefit_tuition_assistance,benefit_vision_insurance,company_spec_accounting,company_spec_artificial_intelligence,company_spec_construction,company_spec_consulting,company_spec_education,company_spec_engineering,company_spec_executive_search,company_spec_finance,company_spec_healthcare,company_spec_human_resources,company_spec_information_technology,company_spec_manufacturing,company_spec_marketing,company_spec_project_management,company_spec_recruiting,company_spec_recruitment,company_spec_retail,company_spec_sales,company_spec_staffing,company_spec_technology,title_text,description_clean,actual_salary,pred_salary,pred_log,residual,abs_error,ape,salary_band,remote_label
Mid-Senior level,Contract,Unknown,MONTHLY,Unknown,Unknown,28,other,Lafayette,-1,Lafayette__Unknown,Unknown__Unknown,Mid-Senior level__Unknown,Mid-Senior level__28,0__Unknown,MONTHLY__Contract,2.0,,,,0,243,37,0.0,0.0,0,0.0,0.0,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Associate,"Natural spoken languages. Minimum requirements: Master's level linguists or Genius test completed in person. Time is your convenience. Start-up mentality and ability to work solar calendar days. If you don't waste my time, I won't waste yours.",299999.99999999977,54483.02347001334,10.90566279033605,-245516.97652998642,245516.97652998642,81.8389921766622,$200k+,Non-remote / unknown
Mid-Senior level,Full-time,Transportation/Trucking/Railroad,YEARLY,1.0,PA,28,sales,United States,40739036,United States__Transportation/Trucking/Railroad,PA__Transportation/Trucking/Railroad,Mid-Senior level__Transportation/Trucking/Railroad,Mid-Senior level__28,1__Transportation/Trucking/Railroad,YEARLY__Full-time,4.0,,6.0,533.0,1,2810,391,2.0,0.0,0,0.0,76.14285714285714,15,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sales Executive,"Shipper Sales Executive Job Title: Shipper Sales Executive Location: 100% Remote About Riteload:Riteload is a pioneering Philadelphia-based technology company with a bold vision to revolutionize the freight trucking industry. Our innovative digital freight marketplace directly connects shippers and carriers, bypassing traditional brokerage fees to foster transparency and efficiency. We pride ourselves on creating a platform that enhances profitability for drivers and offers cost-saving, direct control for shippers over their logistics needs. Our team, a blend of experienced transport professionals and technology innovators, is committed to transforming the trucking landscape into one that values fairness and open access for all. Position Overview:As a Shipper Sales Executive at Riteload, you will play a crucial role in expanding our market presence and enhancing our direct shipper-to-carrier connections. Your mission will be to identify and engage potential new shipper clients, understanding their needs and demonstrating how Riteload can offer them a superior, cost-effective, and efficient solution for their freight requirements. This is a highly lucrative 100% commission based opportunity that pays a recurring commission for every load completed from the shippers you bring into the Riteload platform. First Class company support available everyday. Potential to earn first year and even more for a highly qualified an motivated individual. Key Responsibilities:- Execute persuasive cold calling and outreach strategies to build a robust pipeline of potential shipper clients.- Develop and maintain strong relationships with shippers through outstanding service and regular communication.- Understand and solve the unique challenges faced by each shipper, offering customized solutions that leverage Riteload's platform.- Work in a dynamic, fast-paced environment, adapting strategies and approaches as the market evolves.- Utilize CRM tools to track client interactions, feedback, and progress towards sales targets. Qualifications:- At least 2 years of inside sales experience in logistics, shipping, freight, or trucking industries.- A proven track record of meeting or exceeding sales quotas.- Strong problem-solving skills with an exceptional attention to detail.- Excellent communication skills, with a knack for persuasive cold calling and relationship building.- Ability to thrive in a fast-paced and ever-changing environment.- Passion for delivering superior customer service. Why Join Riteload?At Riteload, you'll be part of an ambitious company that's not just another player in the logistics industry but a disruptive force for good. We offer the opportunity to be at the forefront of an industry revolution, with a culture that values innovation, fairness, and direct impact.",299999.99999999977,70213.94224764542,11.159316419894578,-229786.05775235436,229786.05775235436,76.59535258411819,$200k+,Remote
Associate,Full-time,Business Consulting and Services,YEARLY,2.0,AZ,12,sales,Scottsdale,40871771,Scottsdale__Business Consulting and Services,AZ__Business Consulting and Services,Associate__Business Consulting and Services,Associate__12,0__Business Consulting and Services,YEARLY__Full-time,2.0,,282.0,24517.0,9,4186,599,1.0,5.0,0,7.0,86.63250883392226,20,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sales Representative,"Job description POSITION SUMMARYThe Sales Representative will be responsible for following up on leads who engage in Cardone Ventures products and convert them into customers. Duties will include reaching out to current and potential clients to increase participation with events, calling cold leads, qualifying, and setting appointments with senior sales staff. In order to be successful in this role, you will need to have an understanding of the sales process and dynamics and demonstrate superb interpersonal skills. ABOUT CARDONE VENTURESOur mission is to help business owners achieve their personal, professional, and financial goals through the growth of their businesses. We work in dozens of verticals and provide strategic business guidance through courses, live events, partnerships, and investments. Our core values are the backbone of our business and guide our hiring process: we are inspirational, accountable, transparent, disciplined, aligned, and results oriented. This company operates nationally and is growing by the day. OBJECTIVESMake 250 - 300 outbound calls daily to generate new leadsSchedule up to 60 meetings a month with clients and closersAssist towards the sale of 5 10X360s and personally close 10 Essentials workshop tickets to generate in monthly revenueFocus on ticket sales for Grant Cardone and Cardone Ventures events such as Real Estate Summit, Business Bootcamp..etc.Manage pipeline of prospects using company CRM and perform daily review of leads and lead sourcesAccurately provide information regarding the Business Model of Cardone Ventures, our partnership with Grant Cardone and our Executive LeadershipAsk qualifying questions to determine the client's industry, revenue, profitability…etc.Document conversations in HubSpot in a clear, concise manner so fellow Sales Associates can referenceUtilize role-play opportunities to gain confidence in the sales processCommunicate Cardone Ventures’ value proposition to all business owners COMPETENCIESStrong ability to talk through common occurrences in Breakpoint 1-3 to business ownersUnderstand and follow the sales scripts for Real Estate Summits, Bootcamps, and Essentials WorkshopsAbility to meet or exceed sales quota of 250+ outbound calls/dayAbility to leverage HubSpot CRM and be accurate in taking notes on clientsCan memorize the Essentials Workshops (People, Finance, Leadership) sales script without deviating in order to master the conversationsAbility to explain the Cardone Ecosystem (CTTI, GC Licensee, Cardone Capital, Cardone Ventures...etc) to a client in a clear mannerAbility to meet sales targets for specific offers or deals that take priority during the sales cycle (i.e. Black Friday Deals, Summits)Comfortable with consistent follow up and ability to get creative when reaching out to clients (i.e. video messages, gifts…etc)Knowledgeable of the Product and Pricing guide and stay up to date with any changesThorough understanding of Master Sales Skills and Master Cardone Ventures Products & Services EDUCATION AND EXPERIENCEGED or high school diploma preferredAt least 1-2 years’ work experience in a sales specific role with a training, organizational development or content development focus PHYSICAL REQUIREMENTSProlonged periods sitting at a desk and working on a computer COMMITMENT TO DIVERSITYAs an equal opportunity employer committed to meeting the needs of a multigenerational and multicultural workforce Cardone Ventures recognizes that a diverse staff, reflective of our community, is an integral and welcome part of a successful and ethical business. We hire local talent at all levels regardless of race, color, religion, age, national origin, gender, gender identity, sexual orientation or disability, and actively foster inclusion in all forms both within our company and across interactions with clients, candidates and partners. If this position caught your eye, send us your resume! For best consideration, include the job title and source where you found this position in the subject line of your email to careers @cardoneventures.com. Already a Cardone Ventures candidate? Please connect directly with your recruiter to discuss this opportunity.",294999.9999999998,69250.84804905886,11.145505110322512,-225749.15195094096,225749.15195094096,76.5251362545563,$200k+,Non-remote / unknown
Mid-Senior level,Full-time,Hospitals and Health Care,YEARLY,2.0,WI,20,other,Black River Falls,72610772,Black River Falls__Hospitals and Health Care,WI__Hospitals and Health Care,Mid-Senior level__Hospitals and Health Care,Mid-Senior level__20,0__Hospitals and Health Care,YEARLY__Full-time,6.0,,56.0,2368.0,36,1544,209,1.0,0.0,0,0.0,41.54385964912281,35,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Full-Time Clinic Psychiatrist (PHD),"Job Description Full-Time Clinic Psychiatrist **up to 300k/yr** Plus 10k sign-on and negotiable relocation bonus Connected Health Care, a leading recruitment and staffing firm, is partnering with a premier healthcare facility in Black River Falls, WI, in search of a Full-Time Clinic Psychiatrist to join their esteemed team. Job Description: Provide direct psychiatric patient care and consultation to the collaborative care team through direct patient care and regular consultations. Treat patients directly, advises the prescribing medical provider on appropriate medications and other treatment strategies Provides the care team with educational support on diagnosing and managing behavioral health conditions. Educational Qualifications: Doctorate’s Degree. Must be licensed to practice psychiatry in the state of Wisconsin. American Board of Psychiatry and Neurology Board Certification. Completion of a psychiatry residency program; Prefer experience with primary care psychiatry. Must maintain current BLS certification. Area Highlights: Outdoor Recreation: Explore the breathtaking Black River State Forest for hiking, fishing, and wildlife spotting. Cultural Attractions: Immerse yourself in local history at the Ho-Chunk Gaming Black River Falls or visit the Sand Creek Brewery for a taste of regional flavors. Community Engagement: Engage with a welcoming community through local events, farmers' markets, and vibrant arts and music scenes. For More Information, Contact: Ben - Account Manager 512-334-6625 bwilliams@connectedhc.com",299999.99999999977,89637.2854481064,11.403537800647003,-210362.71455189335,210362.71455189335,70.12090485063118,$200k+,Non-remote / unknown
Director,Part-time,Research Services,YEARLY,4.0,MO,9,healthcare,St Louis,40894,St Louis__Research Services,MO__Research Services,Director__Research Services,Director__9,0__Research Services,YEARLY__Part-time,15.0,1.0,1967.0,296053.0,30,1974,239,3.0,0.0,0,4.0,150.4334349593496,64,10,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Clinical Research Physician - Neurologist - Part Time (224392) (,"Job Summary: As a Principal Investigator (Research Physician) at our sites, you will play a crucial role in advancing cutting-edge medical research. You will lead clinical trials and research studies, collaborating with a dedicated team of healthcare professionals to drive innovation in healthcare. This position offers an exciting opportunity to contribute to medical advancements and improve patient outcomes.Key Responsibilities:Clinical Trial Leadership: Serve as the primary investigator for clinical trials, overseeing the design, implementation, and management of research studies in accordance with regulatory guidelines.Patient Recruitment: Play a key role in patient recruitment and enrollment, ensuring the timely and successful completion of research studies.Medical Oversight: Provide medical oversight, including patient evaluations, medical history reviews, and protocol adherence, to ensure the safety and well-being of research participants.Data Management: Collect, analyze, and maintain accurate and detailed research data, ensuring compliance with all regulatory and ethical standards.Collaboration: Collaborate closely with research coordinators, nurses, and other healthcare professionals to execute research protocols effectively.Regulatory Compliance: Ensure adherence to all relevant regulatory requirements, including FDA guidelines, IRB approvals, and Good Clinical Practice (GCP) standards.Safety Monitoring: Monitor and report any adverse events or safety concerns, taking appropriate actions to protect patient safety.Documentation: Maintain comprehensive and organized research documentation, including patient records, study logs, and progress reports.Continuing Education: Stay current with developments in medical research, attending conferences, seminars, and training sessions as necessary to enhance expertise.Communication: Effectively communicate research findings and progress to internal teams, sponsors, and regulatory authorities.",299999.99999999977,94722.18409361668,11.458714065406049,-205277.8159063831,205277.8159063831,68.42593863546108,$200k+,Non-remote / unknown
Mid-Senior level,Full-time,Business Consulting and Services,YEARLY,Unknown,DC,4,consulting_analyst,Washington,89307809,Washington__Business Consulting and Services,DC__Business Consulting and Services,Mid-Senior level__Business Consulting and Services,Mid-Senior level__4,0__Business Consulting and Services,YEARLY__Full-time,26.0,8.0,0.0,137.0,1,1623,218,3.0,0.0,0,2.0,137.0,19,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Business Consultant,"Company DescriptionTransworld Business Advisors is a global network of highly professional business advsiors/consultants/brokers and the world leader in the marketing and sales of businesses, top 500 franchises, and commercial real estate and has sold over 20,000 businesses in all industries valuing with and without properties nationwide and globally with over 500 offices with significantly above average close rates. Our professional services bring buyers and sellers together, offering turnkey solutions to clients who want to buy or sell a business. Role DescriptionThis is a full-time, on-site 1099 - 100 % Comp-Based Business Consultant Potfolio Career Opportunity at the top performing office with annual earning potential of located in Downtown Washington, DC. As a Business Consultant, you will be responsible for consulting with business clients (buyers and sellers) to provide solutions to their business needs. The position involves working with clients to identify their goals, conducting research and analysis, and defining business requirements to develop effective solutions. QualificationsBachelor's degree in Business Administration, Marketing, or a related fieldSelf motivated mid-to-senior level corporate professionals Experience as a Business Consultant or related positionStrong business acumen, financial and analytical skillsStrong marketing and sales skills are a plus Excellent interpersonal and communication skillsAbility to work effectively in a team environmentDetail-oriented and organizedProficient in Microsoft Office, including Excel and PowerPointExperience with CRM software is a plus",299999.99999999977,102885.69927253798,11.541383654697224,-197114.30072746178,197114.30072746178,65.70476690915397,$200k+,Non-remote / unknown
Mid-Senior level,Full-time,Construction,YEARLY,7.0,NY,4,other,Plainview,14570,Plainview__Construction,NY__Construction,Mid-Senior level__Construction,Mid-Senior level__4,0__Construction,YEARLY__Full-time,4.0,,3539.0,36235.0,4,1524,216,2.0,0.0,0,4.0,10.235875706214689,23,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HVAC Service Supervisor,"Job Responsibilities: Provide technical assistance and on-site training for team members. Regularly evaluate skills and create development plans for each technician. Perform field tech evaluations once a year for journeymen and twice a year for tradesmen andAssist and training the technicians in their communications with theMonitor call activity and respond to all customers with excessive callPerform minimum 4 “quality checks” per month on contractEnsure completion of PM’s within the scheduled month and allottedEnsure adequate manpower to accomplish work within the team area. As a leading provider of mechanical and electrical construction, facilities services, and energy infrastructure, EMCOR Group is committed to its employees. This commitment is embodied in our competitive benefits package, which includes medical, dental, and vision coverage, as well as flexible spending accounts, life insurance, disability income, an Employee Stock Purchase Plan, 401(k) Savings Plans, and employee assistance and wellness programs. Equal Opportunity Employer/Veterans/Disabled. Notice to prospective employees: There have been fraudulent postings and emails regarding job openings. EMCOR Group and its companies. Please check our available positions to confirm that a post or email is genuine. EMCOR Group and its companies do not reach out to individuals to help with marketing or other similar services. If an individual is contacted for services outside of EMCOR’s normal application process – it is probably fraudulent.",287499.9999999999,90531.23970366604,11.413461306069193,-196968.76029633384,196968.76029633384,68.51087314655094,$200k+,Non-remote / unknown
Mid-Senior level,Full-time,Unknown,YEARLY,Unknown,TX,19,sales,Beaumont,-1,Beaumont__Unknown,TX__Unknown,Mid-Senior level__Unknown,Mid-Senior level__19,0__Unknown,YEARLY__Full-time,2.0,,,,0,1527,219,2.0,0.0,0,0.0,0.0,58,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sales Representative Business Development, Business Broker","Transworld Business Advisors of South and West Texas is the leader in Business Brokerage in Houston, Corpus Christi, Huntsville, Beaumont, and San Antonio and we are looking to add to our team of professional Business Brokers. Work with owners of businesses, Presidents, and CEOs. Match buyers and sellers of companies ranging from million in sales price. Create your own business and financial independence using our marketing and sales support. High success with annual potential in the hundreds of thousands of . Transworld provides training and ongoing support. World's #1 Business Brokerage firm. Desired ExpertiseOur most successful business brokers come from a variety of backgrounds:Retired Senior ExecutivesFormer Small or Medium Business OwnersOutside Sales Professionals accustomed to selling intangible servicesFinance & Accounting ProfessionalsCommercial Real Estate Skills and Experience:We are seeking an ambitious individual with a minimum of 10 years of business experience, a penchant for detail, and the ability to effectively communicate with business owners. Must be a self-motivated go-getter. If that's you, the sky is the limit. You must reside near or around Beaumont, Texas. Benefits:Annual potential in the hundreds of thousands. 1099 Commissioned role. Initial and ongoing training and support. Proven processes and systems. Established Houston office and support team. Leads Provided. Network of more than 200 offices and 650 brokers worldwide. Established and respected name in Business Brokerage.",299999.99999999977,104866.23001827461,11.560450352998867,-195133.76998172514,195133.76998172514,65.04458999390843,$200k+,Non-remote / unknown
Mid-Senior level,Part-time,Veterinary Services,HOURLY,Unknown,CA,28,other,Lake Forest,4018926,Lake Forest__Veterinary Services,CA__Veterinary Services,Mid-Senior level__Veterinary Services,Mid-Senior level__28,0__Veterinary Services,HOURLY__Part-time,2.0,,10.0,14.0,1,937,161,1.0,0.0,0,0.0,1.2727272727272727,12,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Veterinarian,"Are you ready for an exciting change? Do you want to join a private practice hospital with a wonderful team? Do you want to work in a modern facility in a beautiful area? If you answered yes to any of these questions, then apply now! Foothill Animal Hospital is looking for a part -time veterinarian, 2-3 days a week, to join our dynamic team. We are a well-established hospital located in the beautiful city of Lake Forest, CA. We are seeking a veterinarian who not only has compassion for animals, but also understands the human-animal bond, and cares about the needs of the pet owners as well. Our hospital provides a supportive environment where our doctors practice high quality modern medicine. Our management team believes that communication is essential, and we have regular team meetings to help keep things organized. We are proud of our 4 RVT's who provide regular support to our doctors in addition to the other team members.",280799.99999999977,85970.78167129004,11.361774401291187,-194829.2183287097,194829.2183287097,69.38362476093657,$200k+,Non-remote / unknown
Entry level,Full-time,Staffing and Recruiting,YEARLY,3.0,NY,20,other,New York,17937,New York__Staffing and Recruiting,NY__Staffing and Recruiting,Entry level__Staffing and Recruiting,Entry level__20,0__Staffing and Recruiting,YEARLY__Full-time,6.0,,2914.0,660946.0,36,1535,214,3.0,0.0,0,9.0,226.73962264150944,29,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Assistant Designer- Intimates,"They own, license, and manage a diverse portfolio of brands that share a passion for quality, comfort, and trend. This role is a great way to learn the foundations of becoming a Designer, as you will be executing on these essential responsibilities: Research the market for seasonal trends, colors, prints and silhouettes to support the senior team. Responsible for sending out tech packs and sample requests, along with production artwork and color standards. Execute organized and accurate technical development packages that include construction details, sketches, fabrications, trims, print, and color details. Correspond with overseas factories regarding production. Assist designers with the trim and fabric library, color pallets, and flat sketching. Work with the senior team to make sure artwork is sized correctly and for choosing colors. Execute production packages including color and trim specifications and preparing production ready print and graphic artwork. Prep meeting samples and presentation boards. Track and follow up with factories and cross-functional partners on design development and sourcing. Job Requirements & Qualifications: Fashion degree preferred. Internship experience strongly preferred. Proficiency in Illustrator, Photoshop, & Microsoft Excel. Positive attitude and team player. Excellent communication and follow-up skills, ability to manage multiple tasks, strong organizational skills, and attention to detail. Candidate must be passionate about fashion and thrive in a fast-paced environment.",256922.50000000017,62459.29873849899,11.042286413702657,-194463.20126150118,194463.20126150118,75.68943991339842,$200k+,Non-remote / unknown
